0	25025	125
1	23667	239
2	23224	353
3	23027	469
4	23521	603
5	23176	716
6	22924	831
7	22900	954
8	22947	1081
9	23007	1210
10	22982	1337
11	22789	1454
12	22581	1569
13	22679	1707
14	22482	1822
15	22289	1938
16	22098	2052
17	21914	2167
18	21801	2288
19	21735	2415
20	21677	2543
21	21602	2670
22	21534	2798
23	21469	2927
24	21380	3054
25	21295	3182
26	21206	3309
27	21108	3436
28	21004	3562
29	20903	3688
30	20798	3815
31	20706	3944
32	20591	4068
33	20483	4195
34	20391	4325
35	20299	4455
36	20196	4584
37	20086	4711
38	19980	4840
39	19872	4968
40	19762	5095
41	19650	5223
42	19542	5352
43	19428	5479
44	19317	5608
45	19193	5733
46	19076	5860
47	18966	5989
48	18846	6115
49	18733	6244
50	18618	6372
51	18498	6499
52	18377	6625
53	18263	6754
54	18148	6883
55	18029	7011
56	17931	7147
57	17892	7308
58	17775	7438
59	17659	7568
60	17695	7765
61	17597	7905
62	17468	8032
63	17472	8222
64	17455	8404
65	17323	8532
66	17116	8622
67	16977	8746
68	16852	8876
69	16749	9018
70	16639	9157
71	16534	9300
72	16409	9431
73	16283	9563
74	16154	9692
75	16048	9836
76	15924	9969
77	15794	10098
78	15671	10231
79	15539	10359
80	15411	10490
81	15280	10618
82	15148	10746
83	15018	10875
84	14901	11014
85	14772	11143
86	14635	11268
87	14500	11393
88	14371	11523
89	14240	11651
90	14113	11782
91	13986	11914
92	13858	12045
93	13729	12175
94	13598	12303
95	13470	12434
96	13341	12564
97	13214	12696
98	13085	12826
99	12956	12956
100	12827	13086
101	12699	13217
102	12571	13348
103	12442	13479
104	12313	13609
105	12183	13738
106	12054	13868
107	11924	13997
108	11795	14128
109	11664	14256
110	11534	14385
111	11406	14517
112	11276	14646
113	11147	14776
114	11016	14904
115	10886	15033
116	10755	15161
117	10626	15291
118	10496	15420
119	10366	15549
120	10236	15679
121	10107	15808
122	9978	15939
123	9848	16068
124	9719	16198
125	9592	16333
126	9505	16537
127	9373	16664
128	9270	16842
129	9171	17031
130	9088	17254
131	8956	17386
132	8824	17516
133	8730	17725
134	8599	17859
135	8467	17994
136	8339	18134
137	8205	18263
138	8072	18395
139	7940	18527
140	7807	18658
141	7673	18787
142	7542	18921
143	7413	19063
144	7279	19192
145	7149	19330
146	7015	19458
147	6883	19591
148	6749	19718
149	6615	19847
150	6483	19979
151	6349	20106
152	6216	20235
153	6083	20365
154	5949	20494
155	5816	20621
156	5683	20749
157	5549	20878
158	5417	21009
159	5284	21138
160	5151	21267
161	5018	21395
162	4886	21525
163	4753	21654
164	4620	21781
165	4487	21909
166	4354	22035
167	4221	22163
168	4089	22292
169	3957	22423
170	3824	22551
171	3692	22681
172	3560	22813
173	3428	22942
174	3295	23071
175	3163	23198
176	3031	23329
177	2899	23457
178	2767	23587
179	2636	23726
180	2503	23850
181	2371	23978
182	2239	24106
183	2107	24233
184	1975	24362
185	1843	24492
186	1711	24622
187	1580	24755
188	1448	24883
189	1316	25014
190	1184	25143
191	1052	25271
192	921	25401
193	789	25529
194	657	25657
195	526	25786
196	394	25913
197	263	26041
198	131	26168
199	0	26299
